Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand,GKScore_abs,GKBand
Leonardo Pavoletti,Genoa,it Serie A,FW,27.1,1916,21.3,654.2335030969189,Top Starter,,,,,490.3343238276505,Top Starter,,
José Callejón,Napoli,it Serie A,FW,28.9,2832,31.5,407.5587900662008,Top Starter,,,,,398.9724644787332,Solid Squad Player,,
Miroslav Klose,Lazio,it Serie A,FW,37.6,1358,15.1,676.5913639915258,Top Starter,,,,,406.8157199198797,Top Starter,,
Éder,Inter,it Serie A,FW,29.1,2394,26.6,419.4998032535737,Top Starter,,,,,336.5170027959734,Solid Squad Player,,
Mario Balotelli,Milan,it Serie A,FW,25.4,826,9.2,433.57654448596804,Top Starter,,,,,512.4202318772325,Top Starter,,
Federico Bernardeschi,Fiorentina,it Serie A,FW,21.9,2274,25.3,355.72281773853325,Solid Squad Player,,,,,507.85742917620814,Top Starter,,
Keita Baldé,Lazio,it Serie A,FW,20.8,1767,19.6,439.7718878882315,Top Starter,,,,,446.70269234653193,Top Starter,,
Ciro Immobile,Torino,it Serie A,FW,25.9,986,11.0,501.65558963148374,Top Starter,,,,,342.99664013998944,Solid Squad Player,,
Massimo Maccarone,Empoli,it Serie A,FW,36.3,2765,30.7,503.39563273451904,Top Starter,,,,,294.957085919628,Solid Squad Player,,
Antonio Candreva,Lazio,it Serie A,Off_MF,28.8,2202,24.5,431.59163460868257,Top Starter,,,,,340.04649759045935,Solid Squad Player,,
Antonio Cassano,Sampdoria,it Serie A,FW,33.5,1217,13.5,573.9706261840518,Top Starter,,,,,468.1600944621876,Top Starter,,
Federico Dionisi,Frosinone,it Serie A,FW,28.5,2449,27.2,433.64622282959283,Top Starter,,,,,416.8447199304194,Top Starter,,
Mauricio Pinilla,Atalanta,it Serie A,FW,31.9,1341,14.9,517.8665654265515,Top Starter,,,,,518.4421940587875,Top Starter,,
Fabio Quagliarella,Sampdoria,it Serie A,FW,32.9,2576,28.6,261.60804970094364,Solid Squad Player,,,,,270.62337956726907,Solid Squad Player,,
Germán Denis,Atalanta,it Serie A,FW,34.3,976,10.8,451.73208633819434,Top Starter,,,,,493.5295486084438,Top Starter,,
Riccardo Meggiorini,Chievo,it Serie A,FW,30.3,1653,18.4,594.7139977164026,Top Starter,,,,,521.6146491066603,Top Starter,,
Carlos Bacca,Milan,it Serie A,FW,29.3,3167,35.2,498.7235501247519,Top Starter,,,,,229.6774821374202,Solid Squad Player,,
M'Baye Niang,Milan,it Serie A,FW,21.0,1162,12.9,508.68635117227967,Top Starter,,,,,510.6829637008817,Top Starter,,
Antonio Floro Flores,Chievo,it Serie A,FW,32.5,1289,14.3,440.97873672888204,Top Starter,,,,,535.7176879435792,Top Starter,,
Khouma Babacar,Fiorentina,it Serie A,FW,22.8,800,8.9,490.86770253654345,Top Starter,,,,,352.2913932432631,Solid Squad Player,,
Josef Martínez,Torino,it Serie A,FW,22.6,920,10.2,405.7576581198463,Top Starter,,,,,308.4340813227942,Solid Squad Player,,
Marco Borriello,Atalanta,it Serie A,FW,33.5,1598,17.8,594.9974302274235,Top Starter,,,,,435.7676418671844,Top Starter,,
Edin Džeko,Roma,it Serie A,FW,29.8,1951,21.7,482.7393148254451,Top Starter,,,,,514.800126025797,Top Starter,,
Lorenzo Pellegrini,Sassuolo,it Serie A,Off_MF,19.5,1151,12.8,306.05973452555617,Solid Squad Player,,,,,564.4378394554309,Top Starter,,
Álvaro Morata,Juventus,it Serie A,FW,23.2,1453,16.1,681.1256159001922,Top Starter,,,,,509.6973396657954,Top Starter,,
Luis Muriel,Sampdoria,it Serie A,FW,24.7,1691,18.8,548.230448420122,Top Starter,,,,,435.36492469519527,Top Starter,,
Sergio Floccari,Bologna,it Serie A,FW,34.1,1552,17.2,441.7897485985705,Top Starter,,,,,442.59574719493395,Top Starter,,
Antonio Di Natale,Udinese,it Serie A,FW,38.2,1146,12.7,408.48872694210786,Top Starter,,,,,202.14467376901453,Solid Squad Player,,
Nicola Sansone,Sassuolo,it Serie A,FW,24.3,2544,28.3,421.8699042407415,Top Starter,,,,,387.3159284327553,Solid Squad Player,,
Mattia Zaccagni,Hellas Verona,it Serie A,FW,20.5,48,0.5,,,,,,,,,,
Luiz Adriano,Milan,it Serie A,FW,28.7,1186,13.2,420.03542804253226,Top Starter,,,,,411.30881488958323,Top Starter,,
Grégoire Defrel,Sassuolo,it Serie A,FW,24.5,2051,22.8,415.0119078001754,Top Starter,,,,,349.29405183238043,Solid Squad Player,,
Mauro Zárate,Fiorentina,it Serie A,FW,28.8,695,7.7,520.0876304953078,Top Starter,,,,,449.91103554888537,Top Starter,,
