Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,RawScore,MainScore,MainBand
Téji Savanier,Montpellier,fr Ligue 1,MF,30,2546,28.3,,,820.4759702140702,World Class,,,820.4759702140702,908.7,Exceptional
Stefan Savić,Atlético Madrid,es La Liga,DF,31,1943,21.6,,,,,633.8473084850012,Top Starter,633.8473084850012,641.3,Top Starter
Joe Scally,Gladbach,de Bundesliga,DF,19,2208,24.5,,,,,353.0685929340293,Solid Squad Player,353.0685929340293,83.8,Below Big-5 Level
Giorgio Scalvini,Atalanta,it Serie A,DF,18,2335,25.9,,,,,696.4620380101911,Top Starter,696.4620380101911,721.1,Top Starter
Gianluca Scamacca,West Ham,eng Premier League,FW,23,926,10.3,350.6857220449453,Solid Squad Player,,,,,350.6857220449453,408.6,Top Starter
Gustavo Scarpa,Nott'ham Forest,eng Premier League,MF,28,181,2.0,,,,,,,,,Below Big-5 Level
Kevin Schade,Brentford,eng Premier League,FW,20,732,8.1,241.97252886623374,Solid Squad Player,,,,,241.97252886623374,270.4,Solid Squad Player
Kevin Schade,Freiburg,de Bundesliga,FW,20,182,2.0,,,,,,,,,Below Big-5 Level
András Schäfer,Union Berlin,de Bundesliga,MF,23,860,9.6,,,224.8225145227532,Solid Squad Player,,,224.8225145227532,151.2,Below Big-5 Level
Fabian Schär,Newcastle Utd,eng Premier League,DF,30,3206,35.6,,,,,569.9650132853569,Top Starter,569.9650132853569,519.1,Top Starter
Derry Scherhant,Hertha BSC,de Bundesliga,FW,19,285,3.2,,,,,,,,,Below Big-5 Level
Patrik Schick,Leverkusen,de Bundesliga,FW,26,941,10.5,424.9876370619405,Top Starter,,,,,424.9876370619405,486.8,Top Starter
Kingsley Schindler,Köln,de Bundesliga,DF,29,1088,12.1,,,,,526.3755634722439,Top Starter,526.3755634722439,405.4,Top Starter
Xaver Schlager,RB Leipzig,de Bundesliga,MF,24,1506,16.7,,,403.8090532338878,Top Starter,,,403.8090532338878,392.5,Solid Squad Player
Keven Schlotterbeck,Freiburg,de Bundesliga,DF,25,14,0.2,,,,,,,,,Below Big-5 Level
Keven Schlotterbeck,Bochum,de Bundesliga,DF,25,734,8.2,,,,,730.8748298339989,Top Starter,730.8748298339989,785.0,World Class
Nico Schlotterbeck,Dortmund,de Bundesliga,DF,22,2252,25.0,,,,,741.5592713395054,Top Starter,741.5592713395054,804.8,World Class
Jeffrey Schlupp,Crystal Palace,eng Premier League,MF,29,2531,28.1,,,376.93718360553964,Solid Squad Player,,,376.93718360553964,372.0,Solid Squad Player
Jonathan Schmid,Freiburg,de Bundesliga,DF,32,41,0.5,,,,,,,,,Below Big-5 Level
Romano Schmid,Werder Bremen,de Bundesliga,Off_MF,22,1520,16.9,351.4459812386054,Solid Squad Player,,,,,351.4459812386054,349.7,Solid Squad Player
Kenneth Schmidt,Freiburg,de Bundesliga,DF,20,251,2.8,,,,,,,,,Below Big-5 Level
Niklas Schmidt,Werder Bremen,de Bundesliga,MF,24,1087,12.1,,,520.7998973746229,Top Starter,,,520.7998973746229,550.2,Top Starter
Benno Schmitz,Köln,de Bundesliga,DF,27,2420,26.9,,,,,610.801751133454,Top Starter,610.801751133454,562.1,Top Starter
Jerdy Schouten,Bologna,it Serie A,MF,25,2509,27.9,,,409.32341414841943,Top Starter,,,409.32341414841943,399.9,Solid Squad Player
Perr Schuurs,Torino,it Serie A,DF,22,2326,25.8,,,,,550.6919256809009,Top Starter,550.6919256809009,450.6,Top Starter
Demba Seck,Torino,it Serie A,Off_MF,21,519,5.8,214.59122700884092,Solid Squad Player,,,,,214.59122700884092,175.9,Below Big-5 Level
