Player,OffScore_mean,MidScore_mean,DefScore_mean,Min,90s
Andrea Ghezzi,128.91156462585036,,,37,0.4
Andrea Ghion,122.3248299319728,,,58,0.6
Andrea La Mantia,361.7955002820126,,,1041,11.5
Andrea Masiello,,,407.09498437438924,9488,105.4
Andrea Nalini,138.59841519025193,,,1638,18.2
Andrea Papetti,,,411.0624153967807,917,10.2
Andrea Petagna,328.4651771471044,,,12224,135.9
Andrea Pinamonti,280.9848583404774,,,16214,180.3
Andrea Poli,,324.96650806308804,,6777,75.4
Andrea Raggi,,,293.96377009902443,2101,23.4
Andrea Ranocchia,,,432.5815093015126,2306,25.6
Andrea Rispoli,,,329.0640783077062,2561,28.4
Andrea Schiavone,,381.05820105820106,,571,6.3
Andrea Sodero,0.0,,,5,0.1
Andrea Tabanelli,,236.71028037383184,,964,10.7
Andreas Albers,761.5257531584062,,,62,0.7
Andreas Beck,,,324.11927790601,3703,41.099999999999994
Andreas Bruus,,,202.28599289954332,1628,18.1
Andreas Christensen,,,363.124134142872,11694,130.0
Andreas Cornelius,362.8317378984669,,,5118,56.900000000000006
Andreas Hanche-Olsen,,,432.9806188676371,4624,51.400000000000006
Andreas Hountondji,388.3548308212174,,,610,6.8
Andreas Ivan,,114.40000000000002,,46,0.5
Andreas Müller,,173.6752136752137,,349,3.9
Andreas Pereira,342.41615225907094,506.7661691542289,,11022,122.5
Andreas Skov Olsen,269.5880725135763,,,3583,39.7
Andreas Voglsammer,290.4708266158703,,,1882,20.9
Andrei Girotto,,276.76324144898257,492.25134068565376,14135,157.1
Andrei Motoc,,,410.4734563681932,90,1.0
Andrei Ratiu,,,270.8735032899476,5135,57.1
Andrej Ilic,265.1219262633828,,,1861,20.7
Andrej Kramarić,575.4627004698771,,,19293,214.3
Andres Sfait,,,181.7027417027417,23,0.3
Andreu Fontàs,,,375.79390653504504,885,9.8
Andrew Gravillon,,,476.79381972896164,5839,64.8
Andrew Hjulsager,372.0138888888889,,191.51515151515153,373,4.2
Andrew Moran,0.0,,,12,0.1
Andrew Omobamidele,,,440.6032860925264,2143,23.799999999999997
Andrew Robertson,,,285.11630819910005,21368,237.5
Andrew Surman,,363.2156148867315,253.31475287997029,3530,39.2
Andrey Galabinov,405.33560090702946,,,1559,17.3
Andrey Santos,180.0,340.40186220330037,,4138,45.9
Andri Fannar Baldursson,,245.00000000000003,425.9118357487923,360,4.0
Andrija Balić,189.31859410430835,373.61111111111114,,1110,12.3
Andrija Bulatović,,603.5294117647059,,156,1.7
Andrija Maksimović,,415.55555555555554,,78,0.9
Andriy Yarmolenko,370.84456560878954,,,3180,35.3
Andros Townsend,255.50453672353282,,,12346,137.2
András Schäfer,255.660038212816,319.7164289958408,,4341,48.3
André,,202.9364953886693,,3717,41.3
André Ayew,241.43955725202983,,,4718,52.400000000000006
André Carrillo,220.22056021888935,,,1540,17.1
André Gomes,,323.66797059547656,,9683,107.60000000000001
André Hahn,251.0183301637563,,,8641,95.9
André Hoffmann,,,439.7402052138894,3477,38.7
André Ramalho,,,588.4164957849168,34,0.4
André Schürrle,337.9209218610753,,,2877,31.9
André Silva,451.6287984400655,,,13314,148.1
Andrés Andrade Cedeño,,,432.1401204159825,1046,11.6
Andrés Cubas,,,438.71000911860006,2242,24.9
Andrés García,,,252.29359112065873,318,3.5
Andrés Guardado,,410.8268402693933,,11176,124.2
Andrés Iniesta,221.44122683556176,,,1824,20.3
Andrés Martín,117.84706553428822,,,391,4.4
Andrés Solano,,,534.8571428571428,45,0.5
Andrés Tello,,,363.686026660855,413,4.6
Andu Kelati,,680.625,,288,3.2
Andy Carroll,240.18920689592272,,,2235,24.8
Andy Delort,435.3535001218444,,,14784,164.2
Andy Diouf,187.47381369651737,,491.1111111111111,3726,41.4
Andy Irving,,343.33333333333337,,324,3.6
Andy King,,287.56680731364276,,1252,13.9
Andy Pelmard,,,366.76318864818603,5571,61.900000000000006
Anel Ahmedhodžić,,,426.25424455800396,3999,44.4
Ange Martial Tia,272.52909356725144,,,171,1.9
Ange-Yoan Bonny,518.012700350514,,,2966,33.0
