Player,Squad,Comp,Pos,Season,90s,Succ_Per90,Cmp%,PrgC_Per90,PrgR_Per90,TB_Per90,Gls_Per90,Ast_Per90,xG_Per90,xAG_Per90,SoT_Per90,SCA_Per90,KP_Per90,TklW_Per90,Int_Per90,Blocks_Per90,Clr_Per90,Recov_Per90,Carries_Per90
Julio Enciso,Ipswich Town,eng Premier League,"MF,FW",2024-2025,9.7,3.093,69.0,2.371,4.536,0.412,0.206,0.309,0.175,0.144,,,1.34,0.928,0.103,0.825,0.619,4.433,21.134
Julio Enciso,Brighton,eng Premier League,"MF,FW",2024-2025,3.3,3.03,66.0,3.333,5.152,0.0,0.0,0.0,0.303,0.061,,,1.515,0.0,0.0,0.606,0.303,4.545,34.545
Wataru Endo,Liverpool,eng Premier League,"MF,DF",2024-2025,3.0,0.667,93.8,0.333,2.667,0.0,0.0,0.0,0.0,0.033,,,0.667,2.667,2.0,2.667,3.0,4.667,36.667
Endrick,Real Madrid,es La Liga,FW,2024-2025,4.0,1.0,78.7,3.0,8.0,0.0,0.25,0.0,0.625,0.125,,,1.0,0.25,1.0,0.0,0.25,1.75,20.75
Yannik Engelhardt,Como,it Serie A,"MF,DF",2024-2025,12.9,0.698,88.7,1.395,1.395,0.078,0.078,0.078,0.047,0.116,,,0.93,0.93,0.853,1.008,2.093,4.806,40.698
Arne Engels,Augsburg,de Bundesliga,"MF,FW",2024-2025,0.9,0.0,70.4,1.111,5.556,0.0,0.0,0.0,0.444,0.0,,,0.0,0.0,0.0,1.111,0.0,0.0,18.889
Christian Eriksen,Manchester Utd,eng Premier League,MF,2024-2025,11.8,0.0,78.8,1.102,2.458,0.678,0.085,0.169,0.119,0.271,,,2.627,0.763,0.593,1.271,0.678,5.254,40.085
Martin Erlic,Bologna,it Serie A,DF,2024-2025,3.7,0.0,91.7,1.081,0.27,0.0,0.0,0.0,0.054,0.0,,,0.0,0.0,0.541,1.351,2.432,2.973,48.378
Patrick Erras,Holstein Kiel,de Bundesliga,DF,2024-2025,9.2,0.0,92.0,0.326,0.109,0.0,0.109,0.0,0.098,0.011,,,0.326,0.543,0.978,1.413,6.957,2.609,30.652
Alfonso Espino,Rayo Vallecano,es La Liga,DF,2024-2025,9.3,0.538,74.3,1.075,3.118,0.0,0.0,0.108,0.043,0.065,,,0.538,2.581,1.29,2.043,3.441,5.914,33.011
