Player,Squad,tm_player_id,MarketValue_EUR,MatchScore
Chory Castro,Málaga,28171.0,25000.0,100
Gonzalo Castro,Dortmund,28947.0,500000.0,100
Jonny Castro,Celta Vigo,14279.0,300000.0,100
Lucas Castro,Chievo,105892.0,350000.0,100
Rubén Castro,Betis,25316.0,100000.0,100
Danilo Cataldi,Benevento,199733.0,5500000.0,100
Craig Cathcart,Watford,59606.0,600000.0,100
Edinson Cavani,Paris S-G,48280.0,2500000.0,100
Marijan Ćavar,Eint Frankfurt,419255.0,500000.0,100
Dani Ceballos,Real Madrid,319745.0,8000000.0,100
Federico Ceccherini,Crotone,163639.0,400000.0,100
Emanuel Cecchini,Málaga,324946.0,350000.0,100
Ricardo Centurión,Genoa,230058.0,100000.0,100
Luca Ceppitelli,Cagliari,102745.0,600000.0,100
Fabio Ceravolo,Benevento,35743.0,150000.0,100
Alessio Cerci,Hellas Verona,21748.0,200000.0,100
Boštjan Cesar,Chievo,24606.0,200000.0,100
Damir Ceter,Cagliari,460898.0,400000.0,100
Nacer Chadli,West Brom,59631.0,400000.0,100
Fouad Chafik,Dijon,216499.0,50000.0,100
Nathaniel Chalobah,Watford,128900.0,1800000.0,100
Calum Chambers,Arsenal,215118.0,4000000.0,100
Timothy Chandler,Eint Frankfurt,49723.0,350000.0,100
Kwon Chang-hoon,Dijon,259350.0,800000.0,100
Charles,Eibar,486078.0,1000000.0,100
Charly Charrier,Amiens,180091.0,400000.0,100
Pape Cheikh Diop,Lyon,336828.0,800000.0,100
Chema,Levante,51556.0,150000.0,100
Denis Cheryshev,Villarreal,98322.0,1000000.0,100
Raman Chibsah,Benevento,199633.0,175000.0,100
Giorgio Chiellini,Juventus,29260.0,1000000.0,100
Federico Chiesa,Fiorentina,341092.0,18000000.0,100
Ben Chilwell,Leicester City,316125.0,22000000.0,100
Vlad Chiricheș,Napoli,123261.0,900000.0,100
Hamza Choudhury,Leicester City,341501.0,5000000.0,100
Andreas Christensen,Chelsea,196948.0,10000000.0,100
Chuca,Villarreal,399779.0,500000.0,100
Lee Chung-yong,Crystal Palace,81801.0,500000.0,100
Amato Ciciretti,Benevento,159902.0,400000.0,100
Cifu,Málaga,,,0
Luca Cigarini,Cagliari,33218.0,300000.0,100
Per Ciljan Skjelbred,Hertha BSC,18918.0,150000.0,100
Thiago Cionek,SPAL,79510.0,200000.0,100
Saliou Ciss,Angers,149444.0,200000.0,100
Karamoko Cissé,Benevento,65635.0,200000.0,100
Issa Cissokho,Amiens,183494.0,300000.0,100
Ciaran Clark,Newcastle Utd,98240.0,600000.0,100
Christian Clemens,Köln,44713.0,200000.0,100
Tom Cleverley,Watford,73484.0,400000.0,100
Sam Clucas,Swansea City,122223.0,400000.0,100
Nathaniel Clyne,Liverpool,85177.0,500000.0,100
Marcus Coco,Guingamp,353365.0,1500000.0,100
Massimo Coda,Benevento,33763.0,1000000.0,100
Isaac Cofie,Genoa,99327.0,200000.0,100
Renaud Cohade,Metz,18955.0,400000.0,100
Coke,Levante,71905.0,300000.0,100
Emre Çolak,La Coruña,77707.0,100000.0,100
Séamus Coleman,Everton,68390.0,300000.0,100
James Collins,West Ham,12691.0,600000.0,100
Racine Coly,Nice,323379.0,175000.0,100
Kingsley Coman,Bayern Munich,243714.0,50000000.0,100
Marvin Compper,RB Leipzig,9340.0,200000.0,100
Alois Confais,Troyes,292820.0,250000.0,100
Daniel Congré,Montpellier,22386.0,200000.0,100
Diego Contento,Bordeaux,39717.0,150000.0,100
Andrea Conti,Milan,111227.0,500000.0,100
Lewis Cook,Bournemouth,249089.0,13000000.0,100
Steve Cook,Bournemouth,90836.0,1800000.0,100
